query,date,age,gender
borrow_money_from_bank_east_timor,20210530,35-44,Male
internatonal_reserves_list,20210907,65+,Male
tax_implications_gor_international_money_transfer_from_u_to_uk,20210325,NULL,Male
tui_exchange_rates,20210815,55-64,Male
best_debit_cards_for_getting_cash_in_dollars,20211031,65+,Male
depositing_a_foreign_currency_cheque,20210715,65+,Male
fairfx_currency,20211030,65+,Male
barclays_bank_travel_money,20211104,45-54,Female
nat_west_travel_money,20220110,65+,Male
stamp_duty_holiday,20210626,65+,Male
top_rated_travel_insurance_for_uk_trip,20210427,65+,Male
tourist_exchange_rates,20211218,NULL,Male
travel_money,20220110,55-64,Male
why_westerners_looks_older_than_asians,20220116,35-44,NULL
john_lewis_exchange_rates,20211005,45-54,Male
revolut_exchange,20210730,45-54,Male
travel_fx_holiday_money,20210930,65+,Male
bus_pass_pensioners_south_ribble_borough_council,20210911,65+,Female
if_someone_is_sending_me_cash_and_gold_from_dubai_to_uk_is_it_ok,20210213,35-44,Female
switzerland_covid19_testing,20210202,45-54,Male
bolton_traffic_update,20210728,55-64,Male
currency_converter,20220121,45-54,Male
currency_exchange_comparison,20210209,65+,Male
exchange_rates,20211228,35-44,Male
martin_lewis_exchange_rate,20210301,25-34,Male
post_office_exchange_rates,20210901,45-54,Male
leftover_currency,20210218,55-64,Male
tesco_travel_money,20211122,65+,Male
traffic_news,20210716,55-64,NULL
travel_money_maximiser,20210907,65+,Male
lancashire_telegraph_live_traffic_and_travel,20210327,45-54,Female
post_office_travel_money,20210622,65+,Male
travel_money_exchange,20211025,45-54,Female
uk_best_travel_exchange_rates,20211017,45-54,Female
self_catering_heysham,20211113,65+,Male
asda_exchange_rate_for_euro,20210819,65+,Female
holiday_rentals_lancashire_with_hot_tub_hire,20210319,45-54,NULL
foreign_exchange_rates,20210929,65+,Male
caxton_rates_today,20211014,65+,Male
exchange_uk_driving_license_d1_form,20210730,35-44,Male
leftover_currency,20210723,45-54,Male
waitrose_pound_dollar_exchange_rate,20210519,55-64,Female
what_if_i_miss_stamp_duty_by_a_day,20210609,45-54,Female
money_converter,20210831,55-64,Female
mse_money_exchange_rates,20210319,45-54,Female
best_travel_insurance,20211014,65+,Male
lloyds_tsb_prepaid,20210606,45-54,Female
money_converter,20210919,25-34,Male
money_converter_best_rates,20210228,55-64,Female
best_currency_exchange_rates,20210916,45-54,Male
exchange_rate_converter,20211110,65+,Female
holiday_money_exchange_rates,20210329,65+,Male
interbank_currency_exchange_rates,20211021,65+,Male
lancashire_holiday_cottages,20211024,65+,Male
road_closures_in_chorley,20210213,45-54,NULL
who_buys_norwegian_withdrawn_foreign_currency_converter,20210818,65+,Male
post_office_exchange_rates,20210705,65+,Male
westminster_coins,20210303,65+,Female
john_lewis_currency_exchange,20211103,65+,Male
leftover_money,20220131,65+,Male
pip_council_tax_rdyction,20210313,NULL,Female
travel_money,20210810,35-44,Female
best_travel_money_rates,20210310,65+,Male
asda_birmingham,20210917,25-34,NULL
travel_money_exchange,20211006,55-64,Male
best_foreign_currency_rates,20210506,45-54,Male
currency_exchange_rates,20211107,55-64,Female
foreign_currency_rates,20210709,65+,Male
post_office_travel_money_card_change_of_address_online_free,20210203,55-64,Male
travel_fx,20210706,65+,Male
pakistan_forex_exchange_rates,20210308,55-64,Male
travel_fx,20210415,65+,Male
travel_fx_holiday_money,20210902,65+,Male
travelmoney,20211207,NULL,Male
foreign_currency,20210520,55-64,Female
post_office_travel_money,20210324,65+,Male
jet2_three_scenarios,20210215,35-44,Female
money_converter,20211101,65+,Male
travel_money_exchange,20210607,65+,Male
why_is_the_euro_falling_against_sterling,20210325,55-64,Male
best_cameras_for_photography,20210916,65+,Male
british_pounds_to_turkish_liras,20211125,45-54,NULL
can_i_cancel_a_holiday_thats_been_booked_and_payed_for,20211201,65+,Male
charities_that_take_used_postage_stamps,20220131,45-54,Female
leftovercurrencycom,20211222,55-64,Female
how_much_do_banks_charge_for_exchange_rates,20210412,65+,Male
ice_travel_money_card,20210205,45-54,Male
pound_to_euro,20210216,65+,Male
the_best_money_exchange_rate,20210421,65+,Female
best_euro_exchange_rate,20210510,65+,Female
foreign_currency,20210811,55-64,Female
how_much_in_sterling_is_100_pesetas,20210526,45-54,NULL
travel_money_comparison,20211117,65+,Female
foreign_currency_sellers,20211222,55-64,Female
if_i_exchange_house_sale_in_august_do_i_save_on_stamp_duty_calculator,20210807,55-64,Male
wil_pound_continue_to_increase,20210309,45-54,Female
covid_travel_test_preston_lancashire,20211101,35-44,Female
oathie_sykes_gypsy,20210331,65+,Male
travel_money,20211030,55-64,Male
_vs_forecast,20210216,65+,Male
england_emjoy,20210330,25-34,Male
lancashire_education_school_terms_20212,20211102,65+,Male
travel_money,20211001,55-64,Male
sterling_pound_forecast,20210202,55-64,Male
halifax_post_office_travel_money_card,20210521,65+,NULL
ralph_hedley,20210417,65+,Male
sitesprepayteccom,20210406,55-64,Male
currency_exchange,20220130,65+,Female
lancashire_county_council_highways_department_in_caton,20210413,65+,Female
best_way_to_spend_money_abroad,20211113,NULL,NULL
gay_camp_sites_in_lancahire,20210726,55-64,Male
international_student_exchange,20210506,NULL,Female
post_office_exchange_rates,20210930,55-64,Female
foreign_coins_exchange,20210825,65+,Male
sainsbury_travel_money_exchange_rates,20211114,55-64,Male
uk_jamaica_international_exchange_students,20210811,45-54,Male
best_holiday_currency_rates,20210824,45-54,Male
cash_payments_only_2021,20211206,NULL,Female
do_you_get_clubcard_points_on_travel_money,20210818,65+,Male
is_the_australian_dollar_going_to_go_up_or_down_to_the_pound_sterling,20210812,65+,Female
selling_foreign_coins_for_cash_uk,20210316,NULL,Female
travel_currency_rates,20210806,55-64,Male
travelex_currency_services,20210421,65+,Male
exchange_uk_driving_licence_time_frame,20210610,45-54,Male
left_over_currency,20211202,45-54,Male
leftover_currency,20210625,35-44,Male
what_to_do_with_thomas_cook_traveller_cheques,20211024,55-64,Male
school_holidays_morecambe,20211205,65+,Female
will_the_british_pound_rise,20210328,35-44,Male
cottages_near_clitheroe_campsite,20220125,NULL,NULL
recent_currency_rates,20211103,55-64,Female
tax_implications_of_receiving_money_from_abroad,20210201,65+,Female
best_holiday_exchange_rates,20210727,65+,Male
bulgaria_currency,20210304,45-54,Male
decent_trail_cameras,20210407,65+,Male
currency_exchange_rates,20210504,55-64,Female
ecd_sell_back_foreign_currency,20220120,55-64,Female
virgin_atlantic,20211206,35-44,Male
best_foreign_exchange_rates,20210918,55-64,Male
foreign_income_conversion_rates_self_assessment_tax_uk,20211117,NULL,Female
starling_card_atm_withdrawals_overseas,20211214,65+,Female
travel_money_exchange,20210517,55-64,Male
travel_money_rates_comparison,20210503,NULL,Female
wife_murders_husband,20211022,65+,Female
compare_currency,20210814,NULL,Male
euro_exchange_holiday_rate_calculator,20210816,65+,Male
how_much_foreign_aid_do_coutries_pay,20210603,65+,Male
reducing_foreigh_aid,20210505,65+,Female
school_holidays_2021,20210831,65+,Female
ss_lancashire_bibby_line,20210709,65+,Male
travel_fx,20210426,65+,Male
travel_money,20211031,65+,Male
euro_exchange_rate,20211217,65+,Male
euro_holiday_exchange_rates,20210617,55-64,Female
currency_exchange_rates,20210909,45-54,Male
travel_money,20210515,65+,Male
gbp_to_hkd_exchange_rate,20211114,45-54,Male
holiday_cottage_in_lancashite,20210713,45-54,Male
lancashire_library_opening,20211229,65+,Female
tips_on_saving_money_on_britannia_ship,20210905,35-44,Female
travel_money,20210206,55-64,Male
travel_money,20210318,65+,Male
buy_fx,20211016,45-54,Female
ecb_rates,20210906,65+,Female
holiday_money_comparison_sites_martin_lewis_money_saving_expert,20220111,65+,Male
travel_money,20210722,45-54,Female
travel_money_exchange,20211123,65+,Male
foreign_reserve_by_country,20211227,NULL,Male
lancashire_october_term_dates_212,20210809,45-54,Male
lancashire_school_holidays,20210918,55-64,Female
travel_partner_exchang,20211211,35-44,Male
asda_travel_money,20210831,35-44,Female
best_currency_exchange_rates,20211119,NULL,Male
foreign_exchange_rates,20210715,65+,Male
h_t_pawnbroker_currency_exchange_rates,20211105,55-64,Male
leftover_euros,20210815,55-64,Female
best_currency_exchange_rates,20220104,55-64,Male
holiday_money_exchange_rates,20210915,NULL,Male
school_end_of_term_in_lancaster,20210715,65+,Male
travelfx,20210809,65+,Male
why_is_the_pound_raising_against_the_euro,20210805,65+,Female
will_sterling_go_up_in_2022,20211210,65+,Female
reuters_exchange_rates_today,20220118,65+,Female
school_half_term_dates_2022_lancashire,20211230,45-54,Male
travel_fx_travel_money,20210714,65+,Female
what_are_the_international_transfer_fees_from_sa_to_uk_online,20211210,65+,Female
currency_exchange_rates,20210906,55-64,NULL
money_shop_exchange_rate,20211017,NULL,Female
bus_pass_application,20210703,65+,Male
can_i_travel_to_blackpool_from_oldham_covid_restrictions,20210406,55-64,Male
school_holidays_2021_preston,20210823,55-64,Male
what_do_i_need_to_pay_a_euro_bil,20210531,65+,Male
leisure_guard_travel_insurance,20210309,65+,Male
m6_preston_traffic,20210701,55-64,Male
my_tui_holiday_has_been_cancelled_when_can_i_get_my_refund,20210902,65+,Male
currency_exchange_rates,20210504,65+,Male
holiday_money_exchange_rates,20211118,65+,Female
holiday_money_exchange_rates,20211128,65+,Male
travel_fx_currency,20210912,65+,Male
asda_living_near_me,20210922,25-34,Female
exchange_rate_between_usd_and_gbp,20210305,45-54,Male
money_converter_for_holiday,20210518,65+,Female
sainsburys_travel_money_rates,20220129,65+,Male
snp_useless_jan172022,20220117,NULL,Female
euro_travel_exchange_rate_travel_fx,20210616,55-64,Female
travel_fx,20210622,45-54,Male
travel_money,20220127,55-64,Male
charities_collecting_foreign_coins,20210517,55-64,Female
currency_exchange_rates,20210904,55-64,NULL
mcdonaldscouk,20210825,55-64,Male
travelfx,20210630,35-44,Female
bus_pass_renewal_lancashire_area,20210731,65+,Male
holiday_money,20210808,45-54,Female
travel_fx,20210709,65+,Male
usd_exchange_rate,20210819,15-24,NULL
withdrawn_foreign_currency,20210818,65+,Male
best_credit_card_for_foreign_travel,20211005,65+,Male
exchange_rates,20210602,65+,Male
glamping_in_lancaster,20210625,45-54,Female
oanda_exchange_rate,20210907,45-54,Male
pound_to_euro,20210217,65+,Male
travel_money_maximiser,20211027,65+,Male
100_000_pounds_gift_from_abroad,20210301,35-44,Female
sage_posting_foreign_sales_invoices,20210903,35-44,Male
ballymoney_to_newtownabbey,20210611,25-34,Female
formbt_hall,20210517,65+,Male
turkey_currency,20211124,65+,Male
best_holiday_money,20210916,65+,Female
buy_foreign_currency_online,20220126,55-64,Male
can_i_insure_my_second_home_in_portugal_in_london,20211005,65+,Male
currency_exchange_rates,20210511,55-64,Male
holiday_money_currency,20211203,65+,Male
self_catering_near_burnley,20211009,65+,Male
travel_fx_holiday_money,20210825,55-64,Male
can_you_buy_english_premium_bonds_in_euros,20210802,65+,Female
caxton_exchange,20210817,65+,Male
lancashire_county_council_school_holidays,20210912,55-64,Female
transferring_money_overseas_from_australia_tips,20210413,45-54,Female
travel_money_exchange,20210723,65+,Male
currency_conversion,20211011,65+,Female
nationwide_euro_to_pound_bank_rate,20210528,45-54,Female
best_tourist_rtaes,20220109,45-54,Male
free_foreign_exchange_students_porn_movies,20210919,45-54,Male
john_lewis_exchange_rates,20211015,65+,Female
300000_gbp_4578626282_jpy_source_httpsgbpcurrencyratetodayconvertamount300000tojpyhtml,20211111,45-54,Female
foreign_exchange,20211115,NULL,NULL
currency_exchange_rates,20211006,65+,Male
glamping_pods_garstang,20210604,65+,Male
travel_fx_exchange_rates,20210909,55-64,Female
lancashire_county_council_school_holidays,20211111,65+,Female
exchange_rates_today,20211223,65+,Female
ing_bank_belgium_gbp_eur_exchange_rate,20210226,35-44,Female
prepaid_euro_travel_cards,20211001,65+,Male
currency_cards,20220118,65+,Male
exchange_rate_history,20210906,45-54,Male
mse_travel_money,20210306,55-64,Male
teco_foreign_exchange_rates,20211103,65+,Female
tui_losses,20210814,55-64,Female
how_do_i_find_the_iban_number_for_a_westpac_account,20210607,55-64,Male
travel_money_buy_back,20210725,55-64,Female
foreign_exchange_rates,20211015,55-64,Female
lancashire_term_dates,20210708,65+,Male
lancashire_term_dates,20220105,65+,Male
revelot_exchange_rate,20210408,45-54,Female
travel_fx,20211012,65+,Male
is_the_pound_likely_to_rise_higher,20210304,35-44,Male
leftover_currency,20210820,35-44,Male
stamp_duty_holiday,20210413,55-64,Female
traffic_incident_skelmersdlae,20210902,55-64,Male
best_foreign_currency_rates,20211005,45-54,Male
tourist_exchange_rates,20211124,65+,Female
8000000_pesetas_to_pounds,20210622,55-64,Male
calais_covid_test_for_travel_back_to_uk,20210616,55-64,Female
exchange_foreign_coins,20220101,65+,Male
holiday_cottage_lancashire_england,20211113,55-64,Male
where_to_buy_egyptian_pounds_in_u_k,20220112,65+,NULL
currency_exchange_rates,20210811,65+,Male
head_office_money,20220107,65+,NULL
leisure_guard_travel_insurance,20210514,55-64,Female
xe_currency_converter,20210326,NULL,Male
travel_money,20210910,45-54,Male
west_craven_high_school_half_term_dates,20220114,65+,Female
30_pounds_in_naira,20211222,45-54,Male
hard_currency_reserves,20210724,45-54,Male
sterling_currency_predictions,20211119,65+,Male
forexpk,20210603,45-54,Male
monzo_card,20210609,65+,Male
foreign_exchange_rates,20210809,45-54,Male
mcb_foreign_exchange,20211220,65+,Male
should_i_tell_hmrc_of_leaseback_abroad,20210320,45-54,Female
money_saving_expert_covid_tests_for_travel,20210903,65+,Female
travel_money_club_reviews_and_complaints_consumer_reports,20211014,65+,Male
travelfx,20210406,65+,Female
currency_exchange_rates,20210804,55-64,Male
travel_money,20210302,55-64,Male
hayrs_ravel_exchange,20211022,45-54,Male
left_over_currency,20210511,45-54,Male
travel_money_comparison,20211019,65+,NULL
travelfx,20210531,65+,Male
travel_fx,20210406,65+,Male
can_i_transfer_cash_from_my_fairfx_card_back_into_to_my_bank_account,20210610,65+,Male
cardiff_airport_currency_exchange,20211223,45-54,Male
exchange_rates_comparison,20210709,NULL,Female
marks_and_spencer_travel_exchange_rates,20211025,65+,Male
natwest_currency_exchange_commission_rates,20210221,45-54,Male
weswap,20210926,65+,Male
currency_exchange_rates,20220101,55-64,NULL
exchange_rate_for_travel,20220118,NULL,Female
journal_for_loss_on_currency_exchange,20210728,35-44,Female
woodlands_country_park_lancashire_county,20210803,65+,Male
fang_xinghai,20210906,45-54,Male
euro_prices_at_post_office_currency_rates,20211125,65+,Male
travellers_cheques_santander,20210418,45-54,Female
weather_edinburgh,20210301,65+,Male
can_you_purchase_last_minute_holidays_at_the_airport,20220104,45-54,Male
flight_to,20211118,NULL,Male
is_there_a_formula_for_changing_currency,20210303,65+,NULL
transfer_money_to_uk_tax,20210524,65+,NULL
euro_exchange_rate,20210504,55-64,Male
holiday_currency_exchange_rates_uk,20210930,55-64,Male
tesco_travel_money,20210303,65+,Female
asda_travel_money,20210813,65+,Female
best_exchange_rate,20220129,NULL,Female
sell_euro_in_manchester_england,20211116,45-54,Male
travel_money_exchange,20211018,65+,Male
blue_prism,20210518,55-64,Male
get_savings_on_centre_parc,20220108,45-54,Female
travel_money_exchange_rate_comparison_post_office,20210806,65+,Male
stamp_duty_holiday,20210211,55-64,Female
best_holiday_cash_exchange_rates,20211206,NULL,Female
pip_entitlements_home_repairs,20210212,55-64,Male
tourist_exchange_rates,20210803,55-64,Female
lloyds_bank_prepaid_travel_money_card,20220124,NULL,NULL
caravan_parks_that_take_part_exchange,20210510,65+,Female
coc_travell_money,20210916,65+,NULL
postofficecouktravelmoneycard,20210513,65+,Male
travel_money_comparison,20211012,65+,Female
buying_travelers_cheques_in_uk,20210629,65+,Male
how_much_cash_can_i_take_to_thailand,20211114,65+,Male
money_saving_expert,20210920,45-54,Male
prepaid_euro_debit_cards,20211009,65+,Male
school_term_dates_2022_lancashire_uk,20220131,65+,Male
travel_money,20210517,65+,Male
exchange_rate_converter,20211130,35-44,Female
mse_travel_money,20210802,65+,Male
xecom_currency_converter,20211203,NULL,Male
can_i_buy_euros_at_sainsburys,20210914,65+,Male
morrisons_exchange_rate,20220105,35-44,Female
currency_exchange_rates,20211205,65+,Male
exchange_rates,20220123,25-34,Male
ive_got_80k_cash_would_it_enable_me_to_retire_to_benidorm,20210509,NULL,Male
post_office,20210202,65+,Male
preston_stagecoach_timetable,20210530,35-44,Male
travel_fx,20210525,45-54,Female
bus_pass_for_over_60_in_lancashire,20211004,65+,Male
tourist_exchange_rates_thomas_cook,20210623,65+,Male
a_levels_2021_cancelled,20210217,45-54,Male
cfx_exchange,20210221,45-54,Male
foreign_exchange_calculator_currency_converter,20210620,65+,Male
money_converter,20211125,65+,Male
money_what_are_your_holiday_cancellation_rights,20210726,65+,Male
travel_belt,20220110,NULL,NULL
travel_money,20211229,45-54,Male
using_revolut_in_dubai,20220111,15-24,Male
european_central_bank_rate,20220104,45-54,Female
tourist_exchange_rates,20210509,65+,Male
travel_money,20220115,NULL,Male
buy_my_foreign_currency,20210831,65+,Male
compostela_de_santiago_cathedral,20210207,65+,Male
holiday_currency_exchange_rates,20210827,65+,Male
lancashire_school_term_dates,20210708,65+,Male
tourist_exchange_rates,20210525,65+,Male
travel_money_comparison,20210508,65+,Female
best_euros_exchange_rate_travel_money,20210716,65+,NULL
customercareaatravelcurrencycom,20211129,NULL,Male
mexican_pesetas_199182_in_sterling,20211201,65+,Male
travel_money,20211025,65+,Male
mse_fx,20210927,65+,Male
pound_to_euro,20210203,65+,Male
travelfx_holiday_money,20210811,65+,Female
under_18_travel_card_currency_as_agift,20211117,35-44,Male
best_travel_insurer,20211105,65+,Male
cervantes,20210421,65+,Male
best_currency_exchange_rates,20211118,NULL,Female
currency_exchange,20210723,65+,Male
do_i_have_to_pay_tax_in_the_uk_on_a_holiday_home_sold_abroad,20220110,55-64,Male
best_foreign_currency_exchange_rates,20211111,65+,Male
reviews_on_post_office_travel_card,20211001,35-44,Female
best_turkish_lira_rate_in_uk_17th_may_2021,20210517,65+,Female
leftovercurrencycom,20210311,65+,Female
uk_tax_converting_euro_dividend_to_gbp,20211030,55-64,Male
ba_profits_over_the_last_10_years,20210621,35-44,Male
do_you_need_a_lot_of_money_to_travel_world_if_older_person,20211014,45-54,Female
prince_andrew_takes_helicopter_to_play_golf,20210411,25-34,Male
tourist_exchange_rates,20220129,55-64,Male
travel_fx_holiday_money,20210817,65+,Male
travel_money_exchange,20211109,65+,Male
foreign_exchange,20210915,35-44,Male
gbp_currency_down,20210928,NULL,Female
first_direct_buy_currency,20211118,65+,Female
how_do_you_exchange_currency_in_south_africa,20210808,35-44,Male
inheritance_from_overseas_to_the_uk,20211115,45-54,Female
ms_currency,20211013,65+,Female
can_you_ho_on_a_foriegn_holuday_when_in_recept_of_pip,20211018,45-54,Male
currency_exchange_rates,20211012,55-64,Male
kanoo_foreign_exchange,20210807,55-64,Male
acefx_currency_exchange,20210609,65+,Female
ms_travel_money,20220112,NULL,NULL
standard_chartered_singapore_exchange_rate,20211012,45-54,Male
travel_fx,20210707,65+,Male
travelscoop_deals_uk,20220116,55-64,Female
holiday_money_euro,20210705,45-54,Male
money_exchange,20210810,65+,Male
prepaid_euro_cards,20210926,65+,Female
travel_money_maximiser,20210909,65+,Male
pakistan_forex_exchange_rates,20210303,55-64,Male
starling_debit_card,20210519,65+,Female
travel_money_cards,20220123,65+,Male
travel_money_exchange,20210428,55-64,Male
best_euro_foreign_currency,20211010,45-54,Female
currency_exchange_rates,20211204,65+,Male
official_global_currency_rates_today_exchange_rates,20211001,65+,Male
ramsdens_currency_exchange,20220122,65+,Male
uk_full_driving_licence_hk_exchange_years_old,20210527,35-44,NULL
are_tourist_rates_predicted_to_rise_in_uk,20220127,65+,Male
lanchashire_school_term_dates_2022,20220106,65+,Male
pound_to_euro,20210215,65+,Female
leftover_currency,20210327,55-64,Male
travelmoneymaxcom,20210810,65+,Female
asb_international_transfer,20210425,55-64,Female
easyjet_currencycard,20210313,55-64,Male
review_journal_for_foreign_exchange_markets_definition,20210420,25-34,Male
barclays_bank_exchange_rates,20210304,NULL,Female
how_do_i_convert_french_frans_into_pounds,20210916,65+,Male
best_travel_money_cardw,20220105,35-44,Female
hays_travel_exchange_rates,20210423,55-64,Female
lancashire_school_holiday_2021_calendar,20210227,65+,Male
travel_money_exchange_rates_compare,20210826,15-24,Male
best_travel_insurance_reviews_uk,20220119,55-64,Female
currency_exchange_rates,20210205,55-64,Male
currency_rates,20211228,65+,Male
travel_money,20211229,NULL,Male
travel_money_exchange_rates,20210906,65+,Female
does_eskom_owe_an_american_company,20210404,45-54,Female
nationwide_internet_banking_receiving_money_from_abroad,20210709,65+,Male
teenager_assalted_on_train_to_blackpool,20210812,35-44,Female
holiday_money_exchange,20210714,65+,Male
lancashire_term_dates,20210905,65+,Male
pound_to_euro,20210327,65+,Male
travel_fx,20210703,65+,Male
leftover_currency_exchange,20210904,NULL,Male
natwest_bank_buy_back_euros,20211211,65+,Female
post_office_currency_exchange_rates,20220130,65+,Female
transaction_currency_riskunilever,20211113,45-54,Female
travelfx,20210308,65+,Male
south_africa_what_are_fnb_charges_to_send_money_overseas,20210531,65+,Male
tourist_exchange_rates,20210927,65+,Male
travel_fx,20210408,65+,Male
what_do_interest_rates_do_to_foreign_excjange,20211012,NULL,Male
best_exchange_rates,20211012,65+,Female
foreign_exchange,20210918,55-64,Male
travel_money,20220120,65+,Male
waitrose_currency_exchange,20211215,65+,Female
gbp_forecast,20211112,65+,Male
holidaymoneycom,20210721,55-64,Male
travel_fx,20210705,65+,Male
how_to_get_uk_licence_when_disqualified_with_a_dutch_exchage_licence,20211217,NULL,Male
travel_fx_holiday_money,20210504,45-54,Male
charities_in_uk_who_accept_old_fx_coin,20211123,NULL,NULL
france_quarantine_rules_after_holiday,20210724,35-44,Male
sterling_fx_travel_money,20210914,65+,Male
who_holds_the_most_dollar_reserves,20220130,35-44,Male
foreign_exchange_reserves_by_country,20210220,65+,Male
tfx_travel_money,20210315,65+,Male
travel_fx_holiday_money,20210910,45-54,Male
travelmoneymaxcom,20211125,65+,Female
travel_money,20210807,45-54,Female
brazilian_real_to_pound_forecast_this_week,20210706,35-44,Female
how_to_use_irp_to_forecast_future_spot_exchange_rates,20210510,25-34,Female
how_long_do_i_wait_to_get_money_back_from_holidays,20210210,65+,Male
moneysavingexpert_travel_money,20211102,45-54,NULL
travel_problems_preston,20210331,65+,Female
travel_money,20210611,55-64,Male
where_to_catch_bus_46_in_longridge_lancashire,20210623,65+,Female
foreign_exchange_rates,20211125,65+,Female
hays_travel_exchange_rates,20211203,65+,Female
post_office_travel_money,20220119,55-64,Female
moeny_travel,20211207,NULL,Female
thailands_forien_reserves,20210805,65+,Male
australian_dollar_forecast,20210708,65+,Male
how_much_money_would_you_spend_on_drinks_on_a_day_out,20210811,35-44,Male
in_lancashire_what_age_can_you_apply_for_a_bus_pass,20211231,65+,Female
best_euro_rates,20210523,65+,Female
lancashire_covid,20210608,35-44,Female
_euro,20210427,65+,Male
tourist_exchange_rates,20210817,65+,Male
foreign_currency_exchange_rates,20220120,65+,Male
travel_fx,20210720,55-64,Female
xe_foreign_exchange_converter,20210206,65+,Female
currency_exchange_rates,20210710,65+,Male
hadrian_park_to_heworth_bus,20220116,45-54,Female
sterling_pounds_exchange_predictions,20210629,NULL,Female
travel_money_exchange,20210505,55-64,Male
travel_money_exchange,20210624,65+,Male
travel_money_exchange,20210923,35-44,Female
coop_travel_money_exchange_rates,20210820,45-54,Female
lancashire_schools_holidays,20210612,45-54,Female
top_ten_travel_exchange_rates,20220120,65+,Female
travel_fx_exchange_rates,20210319,65+,Female
travelfx,20210911,55-64,Female
travel_fx_exchange_rates,20210913,55-64,Female
inheritance_from_abroad,20210228,55-64,Female
lancashire_covid_news,20210612,65+,Male
travel_money_exchange,20210418,55-64,Male
best_euro_rates,20210318,65+,Male
selling_unwanted_currency_near_me,20210429,25-34,Male
travel_money,20210920,15-24,Male
will_stamp_duty_holiday_be_extended,20210209,35-44,Female
morecambe_council_highways_department,20220127,45-54,NULL
tourist_exchange_rates,20211022,65+,Male
can_i_change_eu_driving_licence_to_british_one,20210613,45-54,Male
nationwide_building_society_overseas_payments,20210531,55-64,Male
roadworks_in_and_around_accrington_august_2021,20210818,65+,Male
top_ten_travel_money_cards,20220120,65+,Male
compare_currency_exchange_rates_uk,20211229,65+,NULL
currency_converter_calculator_xe,20210407,65+,Male
euro_exchange_rate,20210303,55-64,Male
holiday_currency_exchange_rates,20210511,65+,Male
freign_currency,20211103,45-54,Male
post_office_exchange_rates,20211105,65+,Female
post_office_money_travel_card_can_you_get_euro_back_if_in_euro_in_uk,20220114,65+,Male
compare_currency,20210525,45-54,Female
foreign_exchange_rates_post_office,20211105,65+,Female
shepherds_huts_near_preston,20210718,65+,Female
virgin_atlantic,20211127,NULL,Female
best_exchange_rates,20220111,NULL,Male
currency_exchange_rates,20211105,55-64,Male
hotel_chocolat,20210409,65+,Female
revolut_card_rate_turkish_lira,20210507,65+,Female
travel_money,20220126,55-64,Male
xe_currency_converter,20211124,45-54,Female
hohenstaufen_ss_cufftitle,20210627,NULL,Male
how_much_money_did_henry_8_spend_on_war_with_scotland,20210310,15-24,Male
travel_money,20210315,55-64,Male
travel_money_maximiser_rates,20210906,65+,Male
if_i_have_paypal_uk_can_i_pay_in_dollars,20211122,35-44,Female
money_exchange,20211010,55-64,Male
travel_fx,20210930,NULL,Male
travel_fx,20211013,65+,Male
best_time_to_book_holiday_for_2022_martin_lewis,20211014,65+,Female
blackpool_camping_sites,20210705,45-54,Male
foriegn_exchange_peterborough,20220114,65+,Male
is_the_stock_market_open_easter,20210402,35-44,Male
consideration_of_large_gifts_of_money_when_devorcing,20211206,NULL,Male
euro_exchange_rate,20210329,65+,Male
starling_card,20220105,55-64,Male
travel_money,20211027,55-64,Male
currency_exchange_rates,20211229,65+,Male
holiday_currency_exchange,20211110,65+,Male
mse_travel_money,20210730,65+,Male
travel_money,20210819,65+,Male
bolton_traffic_update_a666_road,20210728,55-64,Male
travel_cash_best_rates,20220130,65+,Female
travelmoneymax,20220104,NULL,Male
tourist_exchange_rates,20210626,55-64,Female
best_euro_exchange_rate,20210924,45-54,NULL
car_accident_near_clitheroe_a59,20211111,NULL,NULL
foreign_currency_crossword_clue,20210927,65+,Male
msn_exchange_rates_today,20211212,65+,Male
tesco_travel_money,20220116,65+,Male
cantley_post_office,20210403,NULL,Female
how_much_tax_will_i_pay_to_transfer_money_abroad,20210318,35-44,Male
sell_kazakh_tenge,20210314,65+,Male
travel_money,20220121,NULL,Male
foreign_currency_buying_euros,20211116,45-54,Female
lanchashire_school_term_times,20211106,65+,Male
travelfx,20210318,45-54,Male
caxtonfc,20210831,55-64,Male
youtube,20210404,55-64,Male
holidays_2021,20210402,65+,Female
leicester_to_lanarkshire,20210808,35-44,Female
travelfx,20211012,65+,Male
cashing_usd_travellers_checks_in_vietnam,20210328,65+,Male
currency_exchange,20211214,35-44,Female
leisretime_cancelled_my_holiday_can_i_get_a_full_refnd,20211122,65+,Female
what_is_the_exchange_rate_for_the_dollar_to_pound_forecast,20210512,65+,Female
travel_money_card,20210710,65+,Male
european_currency_coins,20210709,65+,Female
currency_exchange_rates,20211210,55-64,Male
holiday_currency_exchange_rates,20210828,65+,Male
money_saving_expert,20211205,35-44,NULL
starling_bank_using_atm_abroad,20210827,55-64,NULL
credit_suisse_american_express_internatial_fees,20210517,45-54,Female
currency_exchange_rates,20210924,65+,NULL
road_news_rochdale,20210312,55-64,Female
travel_money_compare_rates,20211203,NULL,Female
foreign_currency_at_the_post_office,20210706,65+,Female
traffic_news,20210624,55-64,NULL
up_to_date_europound_exchange_rate,20210502,55-64,Female
how_much_money_can_i_have_transferred_from_abroad,20210330,55-64,Male
